65.1997	127.56970000000001	675.805	686.38	信用风险（续）
42.5197	134.49970000000002	689.827	703.667	九、  风险管理（续）
42.5197	53.328700000000005	675.625	688.081	3. 
42.51970000000001	164.6497	661.324	673.4019999999999	(2)  预期信用损失计量（续）
41.327290000000005	152.272674	646.868	657.38	担保及其他信用增级（续）
42.5197	552.0997000000004	632.4390000000001	642.879	下表对纳入预期信用损失评估范围的金融工具的信用风险敞口进行了列示。在不考虑担保或其他信用增级措施的影响下，对于
42.5197	294.78970000000004	617.94	628.38	表内资产，最大信用风险敞口以资产负债表中账面净值列示 ：
42.5197	71.1497	570.638	578.7579999999999	账面价值
42.5197	79.3297	551.118	561.558	货币资金
42.51070000000004	88.59070000000004	534.846	545.286	结算备付金
42.50170000000003	79.31170000000003	518.574	529.0139999999999	拆出资金
42.49270000000001	116.38270000000003	502.3019999999999	512.742	买入返售金融资产
42.4837	79.2937	486.0299999999999	496.4699999999999	应收利息
42.4747000000001	79.2847000000001	469.7579999999999	480.1979999999999	应收款项
42.46570000000008	88.54570000000008	453.48599999999993	463.92599999999993	长期应收款
42.45670000000007	107.07670000000007	437.21399999999994	447.65399999999994	发放贷款及垫款
42.44770000000017	79.25770000000017	420.94199999999995	431.38199999999995	定期存款
42.43870000000015	107.05870000000016	404.66999999999996	415.10999999999996	存出资本保证金
42.42970000000014	97.77970000000013	388.39799999999997	398.83799999999997	其他债权投资
42.42070000000024	79.23070000000024	372.126	382.566	债权投资
42.411700000000224	107.03170000000023	355.854	366.294	持有至到期投资
42.402700000000436	107.02270000000044	339.582	350.022	应收款项类投资
42.393700000000536	169.65370000000053	323.31	333.75	可供出售金融资产（债务工具）
42.384700000000635	79.19470000000064	307.038	317.478	其他资产
42.5203	60.7903	287.826	298.266	小计
42.5203	79.3303	268.549	278.989	表外项目
42.5203	60.7903	249.251	259.799	合计
355.587	409.55699999999996	592.898	601.76	2018年12月31日
496.65799999999996	546.876	592.912	601.0319999999999	2017年12月31日
291.6847	320.3147	570.624	578.828	第一阶段
286.1497	320.31370000000004	550.92	563.376	474,059
296.6707	320.3047	534.6479999999999	547.1039999999999	8,964
291.3967	320.2957	518.3759999999999	530.8319999999999	74,434
291.3877	320.2867	502.1039999999999	514.56	92,543
315.52570000000003	320.27770000000004	485.83199999999994	498.28799999999995	–
291.3697000000001	320.2687000000001	469.55999999999995	482.01599999999996	21,980
286.0957000000001	320.25970000000007	453.28799999999995	465.74399999999997	161,723
277.9777000000001	320.25070000000005	437.01599999999996	449.472	1,862,894
286.07770000000016	320.24170000000015	420.74399999999997	433.2	172,033
291.33370000000014	320.23270000000014	404.472	416.928	12,446
286.05970000000013	320.2237000000001	388.2	400.656	310,017
277.94170000000025	320.2147000000002	371.928	384.384	2,061,651
315.45370000000025	320.20570000000026	355.656	368.112	–
315.44470000000047	320.1967000000005	339.384	351.84000000000003	–
315.43570000000057	320.1877000000006	323.112	335.56800000000004	–
291.2797000000006	320.1787000000006	306.84000000000003	319.29600000000005	78,301
278.04130000000004	320.3143	287.62800000000004	300.08400000000006	5,331,045
286.1503	320.3143	268.351	280.807	391,548
278.04130000000004	320.3143	249.071	261.527	5,722,593
348.3777	377.0077	570.624	578.828	第二阶段
372.2527	377.0047	550.92	563.376	–
372.2437	376.9957	534.6479999999999	547.1039999999999	–
372.23470000000003	376.98670000000004	518.3759999999999	530.8319999999999	–
366.71770000000004	376.9777	502.52699999999993	513.6779999999999	94
372.21670000000006	376.96870000000007	485.83199999999994	498.28799999999995	–
361.43470000000013	376.9597000000001	469.98299999999995	481.13399999999996	620
353.3167000000001	376.9507000000001	453.28799999999995	465.74399999999997	3,080
348.0427000000001	376.9417000000001	437.01599999999996	449.472	37,254
372.1807000000002	376.9327000000002	420.74399999999997	433.2	–
372.17170000000016	376.92370000000017	404.472	416.928	–
366.65470000000016	376.91470000000015	388.623	399.774	43
353.27170000000024	376.90570000000025	371.928	384.384	5,524
372.1447000000003	376.8967000000003	355.656	368.112	–
372.1357000000005	376.8877000000005	339.384	351.84000000000003	–
372.1267000000006	376.8787000000006	323.112	335.56800000000004	–
372.11770000000064	376.86970000000065	306.84000000000003	319.29600000000005	–
348.10630000000003	377.00530000000003	287.62800000000004	300.08400000000006	46,615
353.3713	377.00530000000003	268.351	280.807	4,751
348.10630000000003	377.00530000000003	249.071	261.527	51,366
405.0707	433.7007	570.624	578.828	第三阶段
428.94370000000004	433.69570000000004	550.92	563.376	–
428.9347	433.68670000000003	534.6479999999999	547.1039999999999	–
428.9257	433.6777	518.3759999999999	530.8319999999999	–
418.1437	433.66870000000006	502.52699999999993	513.6779999999999	314
428.9077000000001	433.6597000000001	485.83199999999994	498.28799999999995	–
418.1257000000001	433.6507000000001	469.98299999999995	481.13399999999996	198
418.11670000000004	433.64170000000007	453.71099999999996	464.86199999999997	411
404.7337000000001	433.6327000000001	437.01599999999996	449.472	29,694
428.87170000000015	433.62370000000016	420.74399999999997	433.2	–
428.86270000000013	433.61470000000014	404.472	416.928	–
418.08070000000015	433.6057000000002	388.623	399.774	841
409.9627000000002	433.59670000000017	371.928	384.384	7,976
428.8357000000003	433.5877000000003	355.656	368.112	–
428.8267000000005	433.57870000000054	339.384	351.84000000000003	–
428.8177000000006	433.56970000000064	323.112	335.56800000000004	–
428.8087000000006	433.5607000000006	306.84000000000003	319.29600000000005	–
461.76370000000003	490.3937	579.1220000000001	587.326	最大信用
461.76370000000003	490.3937	570.624	578.828	风险敞口
456.22270000000003	490.3867	550.92	563.376	474,059
